Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,O5.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,2.153149086406648,4.108805073404364
,,O5.MAA000508.3_9_M.1.1,B cell,CL:0000236,3,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-4.728953895207028,4.9459005700302585
,,O5.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,9.40167998507528,0.6448264237157679
,,O5.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-14.623657322350097,23.551004529249116
,,O6.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,3.275233966186953,3.852011668068725
,,O6.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,12.722821828553045,-9.86270549088501
,,O6.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-26.60120239323474,-5.602823423112217
,,O6.MAA000559.3_8_M.1.1,B cell,CL:0000236,4,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-11.375400456454484,-6.077827339881773
,,O6.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,10.283358562979569,-24.397147972274876
,,O6.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-37.613385960777975,-1.194501364416256
,,O7.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-39.92474785011794,6.365994316738505
,,O7.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,0.6495471277797857,26.16496205737456
,,O7.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,14.97888813056118,-21.697117775308083
,,O7.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-2.680282079454869,16.496423976978267
,,O8.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,4.4844094759975235,23.95306411704636
,,O8.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,4.351784306758471,18.84503777639285
