Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,D22.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-13.918943905882568,12.614506244778946
,,D3.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,2.850007486482638,28.780741183092488
,,D3.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,6.82347696195674,7.3099616964493
,,D3.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,18.760332383477465,0.1440422293551799
,,D3.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,18.97354576333893,22.043731634819736
,,D3.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,18.959088987059346,23.81150455303594
,,D3.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-6.739723457295924,19.905151473912262
,,D4.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,23.37015137520751,-5.540954035843791
,,D4.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-25.614549196481352,-11.405178071072578
,,D4.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,10.89935374266732,6.054161344159768
,,D4.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,22.517466179459557,21.06157923195689
,,D4.MAA000779.3_11_M.1.1,macrophage,CL:0000235,5,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-18.485748647381893,-36.86715522492885
,,D5.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,18.859442491774782,0.9680738733578904
,,D5.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,19.02105590181624,-10.120375116167462
,,D5.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,7.802511551132875,-8.723655584448544
,,D5.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,19.95352958674645,-18.79625969759319
,,D5.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,16.539349286823494,-16.821464040309895
,,D5.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-39.10006408747418,5.623490306455878
,,D6.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,26.6210909161473,-0.1717391448353712
,,D6.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-26.242027357183247,-15.779847604379023
,,D6.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,8.768573846002237,-27.656602086797676
,,D6.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-9.267722585654646,22.08268383901953
,,D7.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,19.278854840077077,24.147538428192192
,,D7.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-35.86500933167965,-7.021776308762178
,,D7.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-27.43270944425537,-4.9216456898002825
,,D7.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,2.745873566767495,15.317432593321064
,,D7.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,10.186995396984049,6.58766627562994
,,D7.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-16.41155562445494,11.305851346487666
,,D8.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,9.437897311238649,-26.920834316589257
,,D8.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-28.74077269115776,-8.549256938581479
,,D8.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,25.493577791862677,4.622015627359512
,,D8.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-5.353227318971175,-27.48925318986392
,,D8.MAA000779.3_11_M.1.1,B cell,CL:0000236,2,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,6.2453850436678024,-15.377128473079374
,,D9.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,25.03082750065096,9.043655904342696
,,D9.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,15.68205355013258,-23.05372333936533
,,D9.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,29.283348058687235,3.876487639475066
,,D9.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-4.909815293636728,10.900987074702185
,,E1.B000971.3_39_F.1.1,macrophage,CL:0000235,5,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-16.811005451580215,-36.0433504908569
,,E1.B001750.3_38_F.1.1,B cell,CL:0000236,3,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-0.1340796309664218,24.53814284876733
,,E1.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,17.990306230618373,25.635806867213628
,,E1.MAA000776.3_10_M.1.1,T cell,CL:0000084,1,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-23.65292514387217,-19.771123804324212
,,E1.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-16.601391199828004,-22.094656377611823
,,E10.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-24.02609734673031,-9.014303164678768
,,E10.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-19.22015416889826,-15.41498962278363
,,E10.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-15.262605095236037,14.189041044957914
,,E11.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,18.748428289708865,-16.562509284805866
,,E11.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,21.066070428528946,-14.7669712652355
,,E11.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,5.694033398559526,26.17221839496465
,,E11.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,2.741665000438887,-23.28384952496831
,,E11.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-15.26653184844433,14.751774900637145
,,E12.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,2.8327067045052656,-27.585212255395927
,,E12.MAA000508.3_9_M.1.1,B cell,CL:0000236,4,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-10.05314622807573,-6.401954255325547
,,E12.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,9.15037311279868,-22.94317032145212
,,E12.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-5.854384118513138,20.555529578304892
,,E13.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-34.084214644185906,-12.83609673843827
,,E13.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-28.643375014307345,-15.05787975756382
,,E13.MAA000779.3_11_M.1.1,B cell,CL:0000236,2,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,2.6003695861666007,-1.701339685784539
,,E14.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,18.71632121036276,-10.222843345796974
,,E14.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,12.77566132542118,-20.12988431379356
,,E14.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,5.810813242122066,12.913228912622076
,,E14.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-38.84650700969478,2.8808439176749747
,,E15.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-31.16522471471224,-9.096983049124484
,,E15.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,24.89186772498528,14.470485665759451
,,E15.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,10.600570957172028,-20.921878306759176
,,E16.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-0.9578836008698772,-30.59892296321589
,,E16.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,18.617952552458434,-18.41709170539012
,,E16.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,23.1099801245571,19.759446075421152
,,E16.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-5.353943045221106,-27.495261784027203
,,E16.MAA000779.3_11_M.1.1,B cell,CL:0000236,0,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,14.429775353606724,11.431593263755689
,,E17.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,0.2274285478087776,-29.20789495102513
,,E17.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,2.517067309977888,-22.64106013611635
,,E17.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,17.796865014400286,17.060227619537798
,,E17.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-12.56407145740202,19.21788970514144
,,E18.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,11.152977477296345,6.501710219340298
,,E18.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,28.625798600392297,-2.71399591735095
,,E18.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,13.433073268995733,-22.6636814329334
,,E18.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,1.8183540150690132,28.323026834337245
,,E18.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-11.29093596106447,19.07364067400089
,,E19.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-36.22715710800037,-9.235199317286746
,,E19.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,21.39569618765417,1.9383045837274453
,,E19.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,5.885899390234934,-27.23420628914024
,,E19.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-28.5252736294074,0.9361621035059337
,,E2.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,5.1841882621262005,15.470811507744695
,,E2.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-12.02428823146973,-19.85005945866125
,,E2.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,13.265846548058652,-11.135587035433051
,,E2.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,9.370730574103955,27.084579629700603
,,E2.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,2.357776543304364,-28.36030991164766
,,E2.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-8.459855941478834,17.799116894402566
,,E20.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,21.80636197751081,-15.954334902166474
,,E20.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,19.76399166818656,4.022188155039038
,,E20.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-28.127123003188792,-13.561497204009305
,,E20.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,12.30022588305307,16.386145183403617
,,E21.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,10.403670952557516,3.4723839074590948
,,E21.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,17.23035525425438,0.0133639015439371
,,E21.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,16.451841542177384,18.671378078591943
,,E21.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,14.129279264713912,-9.492485519418342
,,E21.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-9.356519357220863,27.471364022046036
,,E22.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,6.207134330279533,17.851197666728265
,,E22.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,14.756085755229414,-12.177452437641769
,,E22.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,25.49418905785302,11.57636639966858
,,E22.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,17.89237598119411,-15.578040003669608
,,E22.MAA000779.3_11_M.1.1,B cell,CL:0000236,2,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,6.168881322307008,-16.25811500673959
,,E3.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,22.437815548170747,-2.6447514581529608
,,E3.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-1.6805550838461765,26.166369372580338
,,E3.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-0.9332836410071996,24.044180737742852
,,E3.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-15.54881292361283,10.217339278544912
,,E4.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,12.527868024666503,6.8817978747679645
,,E4.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,10.710652349174538,3.605138633985556
,,E4.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-15.061695094580998,-19.016296344158626
,,E4.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,3.0974093694912,-31.16875556563222
,,E5.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,13.704144977595446,-15.879056223941523
,,E5.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-15.375212482194364,-19.356680948198964
,,E5.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,25.34176584976161,6.83947844835038
,,E5.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,15.335853467766832,21.0322985589674
,,E5.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-12.673471083443047,26.002125510606167
,,E6.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-16.58071895266709,-21.794004027016506
,,E6.MAA000508.3_9_M.1.1,T cell,CL:0000084,1,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,-16.436501617025908,-18.10752953050992
,,E6.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-14.269128535430672,18.14171799073797
,,E7.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-29.11991100868801,-10.650252376595317
,,E7.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,8.73521124762308,-20.750586100924817
,,E7.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,15.675271273425246,-20.587649334704693
,,E7.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-12.991133062332755,20.56081436086463
,,E8.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-21.322683615939084,-16.56378552164494
,,E8.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,8.992000507866123,3.7427408452177606
,,E8.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,8.272047278032312,-9.84863265001268
,,E8.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,20.491963263297905,24.89563223200072
,,E8.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-14.644059516485491,14.836761477558738
,,E9.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,14.844711474849884,-22.155784731421036
,,E9.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-31.95652593066031,-4.152269288432917
,,E9.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-5.4168968445198535,-28.56921979820248
,,E9.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-6.047310369057215,24.834397989371887
,,F1.B000971.3_39_F.1.1,macrophage,CL:0000235,5,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-17.333488133606693,-40.15463651944949
,,F1.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,21.73285105079046,-10.335321267519822
,,F1.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,15.037948364604723,-23.30293691711036
,,F1.MAA000559.3_8_M.1.1,B cell,CL:0000236,2,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,13.047721160432513,-13.327982333298126
,,F1.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-15.296323281035454,23.129214845860073
,,F10.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,11.296314919130367,-23.562553137657844
,,F10.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-29.01487110538456,-7.411102766464566
,,F11.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,22.004929719680632,15.176942211147413
,,F11.B001750.3_38_F.1.1,T cell,CL:0000084,1,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-27.46661115623573,-12.853730519275462
,,F11.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,17.363278106397573,9.04429074620678
,,F11.MAA000776.3_10_M.1.1,macrophage,CL:0000235,5,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-16.875043472553166,-38.61733654402136
,,F11.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-12.986741998956154,-16.99192678263665
,,F12.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,31.60886943452225,0.2729180106915117
,,F12.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,7.438967566074243,-25.313988106330953
,,F12.MAA000508.3_9_M.1.1,B cell,CL:0000236,2,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,6.895791514660423,-21.447533416810128
,,F12.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-34.02448876590671,-4.4283319986698455
,,F12.MAA000776.3_10_M.1.1,macrophage,CL:0000235,5,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-17.83970650658084,-42.6948403355222
,,F12.MAA000779.3_11_M.1.1,B cell,CL:0000236,0,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,31.08481275896585,8.272417058340949
,,F13.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,18.061370136126445,26.070084300911574
,,F13.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,30.182520771213433,9.061949745510052
,,F13.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,2.0605712805390857,-31.49431721904361
,,F13.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-28.73641128277569,-0.2542619240400052
,,F14.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,27.544046248854517,-1.7149271838848503
,,F14.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,3.0368063076332414,21.23109584492246
,,F14.MAA000779.3_11_M.1.1,B cell,CL:0000236,4,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-6.189983415476937,-3.9834423353059343
,,F15.B000971.3_39_F.1.1,T cell,CL:0000084,1,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,-35.410903724683266,-5.191389480722169
,,F15.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,6.612871514428912,-7.7038457920364865
,,F15.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,18.883185813819665,15.55430065371142
,,F15.MAA000776.3_10_M.1.1,B cell,CL:0000236,3,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,-6.540872885652536,4.1538420802659015
,,F15.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-16.193983266384098,19.94152250498137
,,F16.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,29.481416864030148,-0.9747232817172604
,,F16.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,3.363242291706434,-28.420197916287165
,,F16.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-29.303094536243332,-13.026231585064597
,,F16.MAA000776.3_10_M.1.1,B cell,CL:0000236,2,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,19.869075109563298,-16.579443357067188
,,F16.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-13.010560468843304,19.871368699236665
,,F17.B001750.3_38_F.1.1,B cell,CL:0000236,0,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,27.57361821708064,-0.7717813534254344
,,F17.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,21.47359755859383,10.776497789403464
,,F17.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-17.11487874723078,20.13308291395755
,,F18.B000971.3_39_F.1.1,B cell,CL:0000236,0,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,10.632370004078416,14.064869159462877
,,F18.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,14.201879464903625,23.3881277004777
